location,alltrails_url,other_alltrails_urls,crosswalk_confidence,included_in_app,crosswalk_human_notes,crosswalk_computer_notes,url_slug,url_key,geometry_file,geometry_match_score,geometry_match_method,alltrails_trail_name,geometry_point_count,geometry_latitude,geometry_longitude,geometry_min_latitude,geometry_max_latitude,geometry_min_longitude,geometry_max_longitude,geometry_mean_elevation,manual_latitude,manual_longitude,manual_location_notes,model_latitude,model_longitude,coordinate_source
Mink Hollow (Lake Hill),https://www.alltrails.com/trail/us/new-york/plateau-and-sugarloaf-from-mink-hollow-road,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,plateau-and-sugarloaf-from-mink-hollow-road,plateauandsugarloaffromminkhollowroad,Plateau_and_Sugarloaf_via_Mink_Hollow_Road.js,0.9041095890410958,fuzzy_url_slug,Plateau and Sugarloaf via Mink Hollow Road,1341.0,42.13685,-74.16102,42.13087,42.14333,-74.17416,-74.15011,938.5809097688292,,,,42.13685,-74.16102,AllTrails downloaded geometry
Mongaup Pond,https://www.alltrails.com/trail/us/new-york/mongaup-hardenburgh-trail,https://www.alltrails.com/trail/us/new-york/mongaup-mountain-loop,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,mongaup-hardenburgh-trail,mongauphardenburghtrail,MongaupHardenburgh_Trail.js,1.0,exact_url_slug,Mongaup-Hardenburgh Trail,443.0,41.9855,-74.66191,41.95844,42.01237,-74.68845,-74.62229,823.1467268623024,,,,41.9855,-74.66191,AllTrails downloaded geometry
Moon Haw Road,https://www.alltrails.com/trail/us/new-york/friday-mountain-and-balsam-cap-from-moonhaw-rd,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,friday-mountain-and-balsam-cap-from-moonhaw-rd,fridaymountainandbalsamcapfrommoonhawrd,Friday_Mountain_and_Balsam_Cap_from_Moon_Haw_Road.js,0.975,fuzzy_url_slug,Friday Mountain and Balsam Cap from Moon Haw Road,1433.0,41.9866,-74.35115,41.97716,41.98867,-74.36095,-74.3276,798.9532449406839,,,,41.9866,-74.35115,AllTrails downloaded geometry
Mountain TPKE Horse Trail,https://www.alltrails.com/trail/us/new-york/south-plattekill-via-plattekill-turnpike,,Medium,,,Verified Plattekill Turnpike route; confirm it is the DEC horse-trail segment.,south-plattekill-via-plattekill-turnpike,southplattekillviaplattekillturnpike,,0.45901639344262296,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Mt Tremper,https://www.alltrails.com/trail/us/new-york/mount-tremper-trail,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,mount-tremper-trail,mounttrempertrail,Mount_Tremper_Trail.js,1.0,exact_url_slug,Mount Tremper Trail,1165.0,42.07055,-74.29296,42.06601,42.07554,-74.30321,-74.27774,511.67296137339054,,,,42.07055,-74.29296,AllTrails downloaded geometry
Mud Pond Trail,https://www.alltrails.com/trail/us/new-york/snowmobile-mud-pond-and-cables-lake-road-loop,,Medium,Y,,Verified Roscoe-area route includes the Mud Pond Trail.,snowmobile-mud-pond-and-cables-lake-road-loop,snowmobilemudpondandcableslakeroadloop,Snowmobile_Mud_Pond_and_Cables_Lake_Road_Loop.js,1.0,exact_url_slug,"Snowmobile, Mud Pond, and Cables Lake Road Loop",998.0,42.002515,-74.9497,41.99445,42.01277,-74.957,-74.9401,644.813627254509,,,,42.002515,-74.9497,AllTrails downloaded geometry
Neversink Hardenburgh Trail,https://www.alltrails.com/trail/us/new-york/mongaup-hardenburgh-trail,,Medium,,,Verified Mongaup–Hardenburgh route; confirm the Neversink segment/counter.,mongaup-hardenburgh-trail,mongauphardenburghtrail,MongaupHardenburgh_Trail.js,1.0,exact_url_slug,Mongaup-Hardenburgh Trail,443.0,41.9855,-74.66191,41.95844,42.01237,-74.68845,-74.62229,823.1467268623024,,,,41.9855,-74.66191,AllTrails downloaded geometry
North Dome,https://www.alltrails.com/trail/us/new-york/mount-sherrill-via-shaft-road,,Medium,,,Verified page whose route/reviews cover North Dome and Mount Sherrill.,mount-sherrill-via-shaft-road,mountsherrillviashaftroad,Mount_Sherrill_via_Shaft_Road.js,1.0,exact_url_slug,Mount Sherrill via Shaft Road,1127.0,42.17169,-74.38737,42.16489,42.17561,-74.40879,-74.37276,816.0984915705412,,,,42.17169,-74.38737,AllTrails downloaded geometry
Onteora Lake,https://www.alltrails.com/trail/us/new-york/onteora-lake-trail,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,onteora-lake-trail,onteoralaketrail,Onteora_Lake_Trail.js,1.0,exact_url_slug,Onteora Lake Trail,1384.0,41.991545,-74.07478499999999,41.98198,41.99854,-74.08287,-74.0613,162.6799132947977,,,,41.991545,-74.07478499999999,AllTrails downloaded geometry
Overlook,https://www.alltrails.com/trail/us/new-york/overlook-mountain-trail,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,overlook-mountain-trail,overlookmountaintrail,Overlook_Mountain_Trail.js,1.0,exact_url_slug,Overlook Mountain Trail,765.0,42.0801,-74.10807,42.07074,42.08539,-74.1227,-74.09145,769.754248366013,,,,42.0801,-74.10807,AllTrails downloaded geometry
Peekamoose,https://www.alltrails.com/trail/us/new-york/table-mountain-and-peekamoose-mountain,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,table-mountain-and-peekamoose-mountain,tablemountainandpeekamoosemountain,Table_Mountain_and_Peekamoose_Mountain.js,1.0,exact_url_slug,Table Mountain and Peekamoose Mountain,2205.0,41.94366,-74.41551,41.91502,41.95928,-74.42923,-74.39772,860.534693877551,,,,41.94366,-74.41551,AllTrails downloaded geometry
Ploutz Rd (Huckleberry Loop S),,,Low,,,"Huckleberry Loop is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Prediger Road,https://www.alltrails.com/trail/us/new-york/devils-path-east-to-west--3,https://www.alltrails.com/trail/us/new-york/indian-head-mountain-twin-mountain-plateau-mountain-via-devil-s-path,Medium,,,Verified routes use the Prediger Road trailhead.,devils-path-east-to-west--3,devilspatheasttowest3,,0.38461538461538464,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Red Hill Dinch Road,https://www.alltrails.com/trail/us/new-york/red-hill-firetower-from-denning-road,,High,N,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,red-hill-firetower-from-denning-road,redhillfiretowerfromdenningroad,,0.3611111111111111,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Rider Hollow,https://www.alltrails.com/trail/us/new-york/balsam-mt-from-rider-hollow-rd,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,balsam-mt-from-rider-hollow-rd,balsammtfromriderhollowrd,Balsam_Mountain_from_Rider_Hollow_Rd.js,0.8928571428571429,fuzzy_url_slug,Balsam Mountain from Rider Hollow Rd,1245.0,42.09714,-74.50087,42.08479,42.10449,-74.51684,-74.48806,841.5847389558232,,,,42.09714,-74.50087,AllTrails downloaded geometry
Roaring Kill,,,Low,,,"Roaring Kill-area routes are indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Rochester Hollow,,,Low,,,"Rochester Hollow Trail is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Rock Shelter (N Lake Bypass),https://www.alltrails.com/trail/us/new-york/north-lake-south-lake-trail-2,https://www.alltrails.com/trail/us/new-york/escarpment-trail-and-schutt-road-loop,Medium,,,Verified North–South Lake routes; confirm the rock-shelter bypass counter.,north-lake-south-lake-trail-2,northlakesouthlaketrail2,,0.65,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Rocky,https://www.alltrails.com/trail/us/new-york/table-peekamoose-lone-and-rocky-balsam-cap-and-friday-loop,,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,table-peekamoose-lone-and-rocky-balsam-cap-and-friday-loop,tablepeekamooseloneandrockybalsamcapandfridayloop,,0.5,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Rt 206 Cat Hollow,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,,Medium,,,Verified route in the Route 206/Campbell Mountain trail system; confirm Cat Hollow counter geometry.,campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Rusk,,,Low,,,"Rusk Mountain routes are indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Russell Brook,https://www.alltrails.com/trail/us/new-york/russel-brook-falls,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,russel-brook-falls,russelbrookfalls,Russel_Brook_Falls.js,1.0,exact_url_slug,Russel Brook Falls,105.0,41.99527,-74.94123,41.99435,41.99575,-74.94168,-74.94011,548.0095238095238,,,,41.99527,-74.94123,AllTrails downloaded geometry
S.Mtn Esc Trl (Schutt Rd Trail),https://www.alltrails.com/trail/us/new-york/escarpment-trail-and-schutt-road-loop,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,escarpment-trail-and-schutt-road-loop,escarpmenttrailandschuttroadloop,,0.49122807017543857,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
SW Hunter,https://www.alltrails.com/trail/us/new-york/southwest-hunter-mountain-via-spruceton-road,https://www.alltrails.com/trail/us/new-york/hunter-mountain-and-southwest-hunter-mountain-loop-via-spruceton-road,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,southwest-hunter-mountain-via-spruceton-road,southwesthuntermountainviasprucetonroad,Hunter_Mountain_via_Spruceton_Horse_Trail.js,0.7466666666666667,fuzzy_url_slug,Hunter Mountain via Spruceton Horse Trail,1929.0,42.17773,-74.24182,42.16537,42.19287,-74.27234,-74.22184,951.1503369621565,,,,42.17773,-74.24182,AllTrails downloaded geometry
Seager,,,Low,Y,,"A Seager approach is indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Sherrill,https://www.alltrails.com/trail/us/new-york/mount-sherrill-via-shaft-road,,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,mount-sherrill-via-shaft-road,mountsherrillviashaftroad,Mount_Sherrill_via_Shaft_Road.js,1.0,exact_url_slug,Mount Sherrill via Shaft Road,1127.0,42.17169,-74.38737,42.16489,42.17561,-74.40879,-74.37276,816.0984915705412,,,,42.17169,-74.38737,AllTrails downloaded geometry
Slide Mountain,https://www.alltrails.com/trail/us/new-york/slide-mountain-trail,https://www.alltrails.com/trail/us/new-york/slide-cornell-and-wittenberg-mountains,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,slide-mountain-trail,slidemountaintrail,Slide_Mountain_Trail.js,1.0,exact_url_slug,Slide Mountain Trail,1406.0,42.00081,-74.41003,41.99348,42.00867,-74.42766,-74.3851,1027.554054054054,,,,42.00081,-74.41003,AllTrails downloaded geometry
Spruceton,https://www.alltrails.com/trail/us/new-york/hunter-mountain-via-spruceton-horse-trail,https://www.alltrails.com/trail/us/new-york/southwest-hunter-mountain-via-spruceton-road,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,hunter-mountain-via-spruceton-horse-trail,huntermountainviasprucetonhorsetrail,Hunter_Mountain_via_Spruceton_Horse_Trail.js,1.0,exact_url_slug,Hunter Mountain via Spruceton Horse Trail,1929.0,42.17773,-74.24182,42.16537,42.19287,-74.27234,-74.22184,951.1503369621565,,,,42.17773,-74.24182,AllTrails downloaded geometry
Steenburgh Rd (Long Path North),,,Low,,,DEC label names a Long Path road access; no single indexed direct trail-page URL could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Storks Nest,,,Low,,,"An Escarpment route from Storks Nest Road is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Trails End Road,,,Low,,,DEC label names a road/trailhead and no indexed direct AllTrails trail page could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Upper Cherrytown Road,https://www.alltrails.com/trail/us/new-york/vernooy-falls-trail,,Medium,,,Verified Vernooy Falls-area page; confirm the Upper Cherrytown approach.,vernooy-falls-trail,vernooyfallstrail,Vernooy_Falls_Trail.js,1.0,exact_url_slug,Vernooy Falls Trail,683.0,41.86885,-74.35916,41.86409,41.87403,-74.37126,-74.34586,479.0849194729136,,,,41.86885,-74.35916,AllTrails downloaded geometry
Vernooy,https://www.alltrails.com/trail/us/new-york/vernooy-falls-trail,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,vernooy-falls-trail,vernooyfallstrail,Vernooy_Falls_Trail.js,1.0,exact_url_slug,Vernooy Falls Trail,683.0,41.86885,-74.35916,41.86409,41.87403,-74.37126,-74.34586,479.0849194729136,,,,41.86885,-74.35916,AllTrails downloaded geometry
Vly,,,Low,,,"Vly/Bearpen routes are indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
West Kill,https://www.alltrails.com/trail/us/new-york/west-kill-mountain-to-buck-ridge-lookout,,High,Y,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,west-kill-mountain-to-buck-ridge-lookout,westkillmountaintobuckridgelookout,West_Kill_Mountain_to_Buck_Ridge_Lookout.js,1.0,exact_url_slug,West Kill Mountain to Buck Ridge Lookout,1409.0,42.17084,-74.26872,42.16654,42.1825,-74.28953,-74.25765,932.9091554293825,,,,42.17084,-74.26872,AllTrails downloaded geometry
Wittenberg,https://www.alltrails.com/trail/us/new-york/wittenberg-and-cornell-mountains-trail,https://www.alltrails.com/trail/us/new-york/slide-cornell-and-wittenberg-mountains,High,N,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,wittenberg-and-cornell-mountains-trail,wittenbergandcornellmountainstrail,,0.6268656716417911,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Woodchuck Hollow,https://www.alltrails.com/trail/us/new-york/belleayre-mountain-via-lost-clove-and-belleayre-ridge,,Medium,,,Verified Belleayre route in the Woodchuck Hollow area; confirm the road/counter.,belleayre-mountain-via-lost-clove-and-belleayre-ridge,belleayremountainvialostcloveandbelleayreridge,Belleayre_Mountain_via_Lost_Clove_and_Belleayre_Ridge.js,1.0,exact_url_slug,Belleayre Mountain via Lost Clove and Belleayre Ridge,1329.0,42.11455,-74.48881,42.1055,42.12341,-74.51212,-74.46962,854.5364936042137,,,,42.11455,-74.48881,AllTrails downloaded geometry
Woodland Valley,https://www.alltrails.com/trail/us/new-york/wittenberg-and-cornell-mountains-trail,,High,N,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,wittenberg-and-cornell-mountains-trail,wittenbergandcornellmountainstrail,,0.6268656716417911,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
